id,Label,Type,All Deaths,All Related Deaths,All Related TEAEs,All Related TEAEs Leading to Discontinuation,All Serious Related TEAEs,All Serious Related TEAEs Other Than Death,All Serious TEAEs,All Serious TEAEs Other Than Death,All TEAEs,All TEAEs Leading to Discontinuation,Other Related TEAEs Leading to Discontinuation,Other TEAEs Leading to Discontinuation,Related SAEs Leading to Discontinuation,SAEs Leading to Discontinuation,administered_at,administered_every,administered_to,administered_with,chromosome,clearance,completed_on,coordinates,discontinued_by,dose_escalated_using,dosed_at,elimination_half_life,grade_3_4,infused_over,length,ontology_confidence,original_term,phase,pk_dosing_info,serious,source,species,sponsor,stable_for,status,stored_at,study_statistic,synergizes_with,treated,type,used_in_combination_with
ae:dyspnea,Dyspnea,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 8, 'percentage': '6.2%'}",,,1.0,Dyspnea,,,False,,,,,,,,,,,
ae:neutropenia,Neutropenia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 8, 'percentage': '6.2%'}",,,1.0,Neutropenia,,,False,,,,,,,,,,,
ae:pneumonia,Pneumonia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 7, 'percentage': '5.4%'}",,,1.0,Pneumonia,,,True,,,,,,,,,,,
ae:decreased_red_blood_cells,Decreased red blood cells,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,Decreased red blood cells,,,,,,,,,,,,,,
ae:decreased_hemoglobin,Decreased hemoglobin,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,Decreased hemoglobin,,,,,,,,,,,,,,
ae:decreased_lymphocytes,Decreased lymphocytes,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,Decreased lymphocytes,,,,,,,,,,,,,,
ae:increased_glucose,Increased glucose,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,Increased glucose,,,,,,,,,,,,,,
ae:decreased_albumin,Decreased albumin,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,Decreased albumin,,,,,,,,,,,,,,
ae:all_grade_3-4_teaes,All Grade 3-4 TEAEs,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 78, 'percentage': '60.5%'}",,,0.3,All Grade 3-4 TEAEs,,,False,,,,,,,,,,,
ae:progressive_disease_resulting_in_death,Progressive Disease Resulting in Death,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Progressive Disease Resulting in Death,,,True,,,,,,,,,,,
ae:teaes_resulting_in_death,TEAEs Resulting in Death,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,TEAEs Resulting in Death,,,True,,,,,,,,,,,
ae:all_related_grade_3-4_teaes,All Related Grade 3-4 TEAEs,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 44, 'percentage': '34.1%'}",,,0.3,All Related Grade 3-4 TEAEs,,,False,,,,,,,,,,,
ae:constipation,Constipation,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 1, 'percentage': '0.8%'}",,,1.0,Constipation,,,False,,,,,,,,,,,
ae:diarrhea,Diarrhea,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 2, 'percentage': '1.6%'}",,,1.0,Diarrhea,,,False,,,,,,,,,,,
ae:edema,Edema,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 0, 'percentage': '0%'}",,,0.8,Edema Peripheral,,,False,,,,,,,,,,,
ae:rash,Rash,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 1, 'percentage': '0.8%'}",,,1.0,Rash,,,False,,,,,,,,,,,
ae:cough,Cough,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 0, 'percentage': '0%'}",,,1.0,Cough,,,False,,,,,,,,,,,
ae:chills,Chills,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 2, 'percentage': '1.6%'}",,,1.0,Chills,,,False,,,,,,,,,,,
ae:pruritus,Pruritus,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 4, 'percentage': '3.1%'}",,,1.0,Pruritus,,,False,,,,,,,,,,,
ae:blood_lactate_dehydrogenase_increased,Blood Lactate Dehydrogenase Increased,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 2, 'percentage': '1.6%'}",,,0.3,Blood Lactate Dehydrogenase Increased,,,False,,,,,,,,,,,
ae:decreased_appetite,Decreased Appetite,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 3, 'percentage': '2.3%'}",,,1.0,Decreased Appetite,,,False,,,,,,,,,,,
ae:headache,Headache,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 0, 'percentage': '0%'}",,,1.0,Headache,,,False,,,,,,,,,,,
ae:pain,Pain,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 0, 'percentage': '0%'}",,,0.8,Infusion Site Pain,,,False,,,,,,,,,,,
ae:hypokalemia,Hypokalemia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 7, 'percentage': '5.4%'}",,,1.0,Hypokalemia,,,False,,,,,,,,,,,
ae:electrocardiogram_qt_prolonged,Electrocardiogram QT Prolonged,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 5, 'percentage': '3.9%'}",,,0.3,Electrocardiogram QT Prolonged,,,False,,,,,,,,,,,
ae:abdominal_pain,Abdominal Pain,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 1, 'percentage': '0.8%'}",,,1.0,Abdominal Pain,,,False,,,,,,,,,,,
ae:hypotension,Hypotension,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 4, 'percentage': '3.1%'}",,,1.0,Hypotension,,,False,,,,,,,,,,,
ae:dizziness,Dizziness,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 0, 'percentage': '0%'}",,,1.0,Dizziness,,,False,,,,,,,,,,,
ae:leukopenia,Leukopenia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 3, 'percentage': '2.3%'}",,,1.0,Leukopenia,,,False,,,,,,,,,,,
ae:phlebitis,Phlebitis,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Phlebitis,,,False,,,,,,,,,,,
ae:flushing,Flushing,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Flushing,,,False,,,,,,,,,,,
ae:multi-organ_failure,Multi-organ failure,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Multi-organ failure,,,True,,,,,,,,,,,
ae:cardiac_failure,Cardiac failure,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Cardiac failure,,,True,,,,,,,,,,,
ae:hepatic_failure,Hepatic failure,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Hepatic failure,,,True,,,,,,,,,,,
ae:lung_infection,Lung infection,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Lung infection,,,True,,,,,,,,,,,
ae:gastrointestinal_hemorrhage,Gastrointestinal hemorrhage,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Gastrointestinal hemorrhage,,,True,,,,,,,,,,,
ae:shock,Shock,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Shock,,,True,,,,,,,,,,,
ae:infection,Infection,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Infection,,,True,,,,,,,,,,,
ae:blood_creatinine_increased,Blood Creatinine Increased,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Blood Creatinine Increased,,,True,,,,,,,,,,,
ae:deep_vein_thrombosis,Deep Vein Thrombosis,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Deep Vein Thrombosis,,,True,,,,,,,,,,,
ae:pulmonary_embolism,Pulmonary Embolism,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Pulmonary Embolism,,,True,,,,,,,,,,,
ae:febrile_neutropenia,Febrile Neutropenia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1.0,Febrile Neutropenia,,,True,,,,,,,,,,,
ae:sepsis,Sepsis,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Sepsis,,,True,,,,,,,,,,,
ae:platelet_count_decreased,Platelet count decreased,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Platelet count decreased,,,False,,,,,,,,,,,
ae:anorexia,Anorexia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Anorexia,,,False,,,,,,,,,,,
ae:dry_mouth,Dry Mouth,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,Dry Mouth,,,False,,,,,,,,,,,
ae:hemoglobin_decreased,Hemoglobin Decreased,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 3, 'percentage': '1.7%'}",,,0.3,Hemoglobin Decreased,,,False,,,,,,,,,,,
ae:peripheral_sensory_neuropathy,Peripheral Sensory Neuropathy,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 0, 'percentage': '0%'}",,,0.3,Peripheral Sensory Neuropathy,,,False,,,,,,,,,,,
ae:dehydration,Dehydration,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 1, 'percentage': '0.6%'}",,,1.0,Dehydration,,,False,,,,,,,,,,,
ae:weight_decreased,Weight Decreased,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 0, 'percentage': '0%'}",,,1.0,Weight Decreased,,,False,,,,,,,,,,,
ae:alopecia,Alopecia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 0, 'percentage': '0%'}",,,1.0,Alopecia,,,False,,,,,,,,,,,
ae:neuropathy_peripheral,Neuropathy Peripheral,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 0, 'percentage': '0%'}",,,0.3,Neuropathy Peripheral,,,False,,,,,,,,,,,
ae:stomatitis,Stomatitis,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 0, 'percentage': '0%'}",,,1.0,Stomatitis,,,False,,,,,,,,,,,
ae:dysphonia,Dysphonia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 0, 'percentage': '0%'}",,,0.3,Dysphonia,,,False,,,,,,,,,,,
ae:neutrophil_count_decreased,Neutrophil Count Decreased,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 0, 'percentage': '0%'}",,,0.3,Neutrophil Count Decreased,,,False,,,,,,,,,,,
ae:upper_respiratory_tract_infection,Upper Respiratory Tract Infection,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 5, 'percentage': '21.7%'}",,,1.0,Upper Respiratory Tract Infection,,,False,,,,,,,,,,,
ae:white_blood_cell_count_decreased,White Blood Cell Count Decreased,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 5, 'percentage': '21.7%'}",,,0.3,White Blood Cell Count Decreased,,,False,,,,,,,,,,,
ae:death,Death,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Death,,,True,,,,,,,,,,,
ae:ventricular_fibrillation,Ventricular fibrillation,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Ventricular fibrillation,,,True,,,,,,,,,,,
ae:febrile_bone_marrow_aplasia,Febrile bone marrow aplasia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Febrile bone marrow aplasia,,,True,,,,,,,,,,,
ae:neutropenic_infection,Neutropenic infection,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Neutropenic infection,,,True,,,,,,,,,,,
ae:disease_progression,Disease progression,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,Disease progression,,,True,,,,,,,,,,,
ae:drug_hypersensitivity,Drug Hypersensitivity,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 2, 'percentage': '4.8%'}",,,0.3,Drug Hypersensitivity,,,True,,,,,,,,,,,
ae:hyponatremia,Hyponatremia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1.0,Hyponatremia,,,False,,,,,,,,,,,
ae:gastric_hemorrhage,Gastric Hemorrhage,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Gastric Hemorrhage,,,True,,,,,,,,,,,
ae:hematuria,Hematuria,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Hematuria,,,False,,,,,,,,,,,
ae:rectal_hemorrhage,Rectal Hemorrhage,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Rectal Hemorrhage,,,False,,,,,,,,,,,
ae:respiratory_failure,Respiratory Failure,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Respiratory Failure,,,True,,,,,,,,,,,
ae:proctalgia,Proctalgia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Proctalgia,,,False,,,,,,,,,,,
ae:skin_infection,Skin Infection,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Skin Infection,,,False,,,,,,,,,,,
ae:small_intestinal_performation,Small Intestinal Performation,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Small Intestinal Performation,,,True,,,,,,,,,,,
ae:syncope,Syncope,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Syncope,,,False,,,,,,,,,,,
ae:torsades_de_pointes,Torsades de Pointes,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Torsades de Pointes,,,False,,,,,,,,,,,
animal_study:rat,Rat Toxicity Study,Animal Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rat,,,,,,,,,
animal_study:dog,Dog Toxicity Study,Animal Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dog,,,,,,,,,
animal_study:mouse,mouse Toxicity Study,Animal Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mouse,,,,,,,,,
target:hdac1,HDAC1,Target,,,,,,,,,,,,,,,,,,,chr1,,,"32,291,921 – 32,333,635",,,,,,,"41,715 bp",1.0,,,,,,,,,,,,,,,
target:hdac2,HDAC2,Target,,,,,,,,,,,,,,,,,,,chr6,,,"113,933,028 – 113,971,148",,,,,,,"38,121 bp",1.0,,,,,,,,,,,,,,,
target:hdac3,HDAC3,Target,,,,,,,,,,,,,,,,,,,chr5,,,"141,620,778 – 141,636,867",,,,,,,"16,089 bp",1.0,,,,,,,,,,,,,,,
target:hdac8,HDAC8,Target,,,,,,,,,,,,,,,,,,,chrX,,,"72,345,000 – 72,490,924*",,,,,,,"~24,000 bp",0.4,,,,,,,,,,,,,,,
target:hdac4,HDAC4,Target,,,,,,,,,,,,,,,,,,,chr2,,,"235,603,604 – 241,771,051",,,,,,,"~350,000 bp",0.4,,,,,,,,,,,,,,,
target:hdac7,HDAC7,Target,,,,,,,,,,,,,,,,,,,chr12,,,"47,797,021 – 47,862,000*",,,,,,,"~65,000 bp",0.4,,,,,,,,,,,,,,,
target:hdac9,HDAC9,Target,,,,,,,,,,,,,,,,,,,chr7,,,"18,086,825 – 19,002,416",,,,,,,"915,591 bp",0.4,,,,,,,,,,,,,,,
target:hdac6,HDAC6,Target,,,,,,,,,,,,,,,,,,,chrX,,,"48,801,377 – 48,824,986",,,,,,,"23,609 bp",1.0,,,,,,,,,,,,,,,
target:hdac,HDAC,Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
adverse_event:reproductive_toxicity_studies,Reproductive Toxicity Studies,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inferred_Strict_Schema,,,,,,,,,,
adverse_event:developmental_toxicity,Developmental toxicity,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inferred_Strict_Schema,,,,,,,,,,
adverse_event:fatal_hepatotoxicity,fatal hepatotoxicity,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inferred_Strict_Schema,,,,,,,,,,
clinical_study:liver_function_test_abnormalities,liver function test abnormalities,Clinical Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inferred_Strict_Schema,,,,,,,,,,
target:hdac5,HDAC5,Target,,,,,,,,,,,,,,,,,,,chr17,,,"44,076,746 – 44,123,702",,,,,,,"46,956 bp",,,,,,Manual_Enrichment,,,,,,,,,,
target:hdac10,HDAC10,Target,,,,,,,,,,,,,,,,,,,chr22,,,"50,245,183 – 50,251,405",,,,,,,"6,222 bp",,,,,,Manual_Enrichment,,,,,,,,,,
target:hdac11,HDAC11,Target,,,,,,,,,,,,,,,,,,,chr3,,,"13,479,724 – 13,506,424",,,,,,,"26,700 bp",,,,,,Manual_Enrichment,,,,,,,,,,
